address,lat,long
"polleragh, kilnaleck",,
"Roo East, Ardnacrusha",,
"SAVANNAH HOUSE, ARD GAOITHE, CLONMEL",,
"St. Columba's Lodge, Killiney Hill Road, Killiney",,
"The Orchard, Albert Close, Clonmel",,
"Woodburn, 31 Sydney Ave, Blackrock",,
"1 ardkill place, garrymore, ballinagh",53.92386260000001,-7.4146087
"1 Church View, Hollystown, Dublin 15",,
"1 Ryevale Lawns, Leixlip",53.36897420000001,-6.494430292906849
"10 Saval Park Road, Dalkey",53.272565500000006,-6.1156985
"102 Cushlawn Park, Tallaght",53.2759155,-6.37496775
"109 Galtrim Grange, Broomfield, Malahide",53.437986800000004,-6.154701623718389
"109 Kilbrody, Mount Oval Village, Rochestown",,
"11 Kilbelin View, Newbridge",53.170947999999996,-6.79172145174058
"11 The Willows, Clonminch, Tullamore",,
"117  Boireann Bheag, Roscam, Galway",53.276221400000004,-8.9687666
"12 Iona Road, Glasnevin",53.36638085,-6.26971438954652
"120 Walkinstown Road, Walkinstown, Dublin 12",53.323854299999994,-6.328091400000001
"13 Churchwell Square, Belmayne, Balgriffin",,
"13 College View, College Manor, Cobh",,
"13 Seafield Crescent, Booterstown",,
"131 McDowell Avenue, Mount Brown, Kilmainham",,
"14 castlegate downs, adamstown",,
"14 College Square, Wainsfort Manor Drive, Terenure",,
"14 WESTBROOK GREEN, NAUL ROAD, BALBRIGGAN",,
"14 woodthorpe, coolnevon, stillorgan",,
"14. St. Patricks Place, Enniscorthy",52.50228249999999,-6.5752619999999995
"15  The Millers, Bridgemount, Carrigaline",,
"15 Broadford Avenue, Ballinteer",53.27690875,-6.25996365
"16 Castlegardens, Drumboe, Stranorlar",,
"17 Ascaill Rois, Carrickmacross, Monaghan",,
"17 whitebrook park, tallaght",53.28440379999999,-6.3911919
"172 the oakes, belgard heights",,
"186 Applewood Heights, Greystones",53.147820200000005,-6.083196099999999
"20 druids glen park, swords",,
