"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2020 December 18","Both sexes","Number","102"
"RIP.ie death notices","2020 December 19","Both sexes","Number","83"
"RIP.ie death notices","2020 December 20","Both sexes","Number","89"
"RIP.ie death notices","2020 December 21","Both sexes","Number","88"
"RIP.ie death notices","2020 December 22","Both sexes","Number","90"
"RIP.ie death notices","2020 December 23","Both sexes","Number","98"
"RIP.ie death notices","2020 December 24","Both sexes","Number","83"
"RIP.ie death notices","2020 December 25","Both sexes","Number","88"
"RIP.ie death notices","2020 December 26","Both sexes","Number","98"
"RIP.ie death notices","2020 December 27","Both sexes","Number","90"
"RIP.ie death notices","2020 December 28","Both sexes","Number","104"
"RIP.ie death notices","2020 December 29","Both sexes","Number","96"
"RIP.ie death notices","2020 December 30","Both sexes","Number","80"
"RIP.ie death notices","2020 December 31","Both sexes","Number","114"
"RIP.ie death notices","2021 January 01","Both sexes","Number","92"
"RIP.ie death notices","2021 January 02","Both sexes","Number","88"
"RIP.ie death notices","2021 January 03","Both sexes","Number","102"
"RIP.ie death notices","2021 January 04","Both sexes","Number","107"
"RIP.ie death notices","2021 January 05","Both sexes","Number","116"
"RIP.ie death notices","2021 January 06","Both sexes","Number","100"
"RIP.ie death notices","2021 January 07","Both sexes","Number","114"
"RIP.ie death notices","2021 January 08","Both sexes","Number","113"
"RIP.ie death notices","2021 January 09","Both sexes","Number","106"
"RIP.ie death notices","2021 January 10","Both sexes","Number","142"
"RIP.ie death notices","2021 January 11","Both sexes","Number","130"
"RIP.ie death notices","2021 January 12","Both sexes","Number","141"
"RIP.ie death notices","2021 January 13","Both sexes","Number","131"
"RIP.ie death notices","2021 January 14","Both sexes","Number","129"
"RIP.ie death notices","2021 January 15","Both sexes","Number","138"
"RIP.ie death notices","2021 January 16","Both sexes","Number","140"
"RIP.ie death notices","2021 January 17","Both sexes","Number","109"
"RIP.ie death notices","2021 January 18","Both sexes","Number","140"
"RIP.ie death notices","2021 January 19","Both sexes","Number","121"
"RIP.ie death notices","2021 January 20","Both sexes","Number","152"
"RIP.ie death notices","2021 January 21","Both sexes","Number","144"
"RIP.ie death notices","2021 January 22","Both sexes","Number","152"
"RIP.ie death notices","2021 January 23","Both sexes","Number","136"
"RIP.ie death notices","2021 January 24","Both sexes","Number","140"
"RIP.ie death notices","2021 January 25","Both sexes","Number","124"
"RIP.ie death notices","2021 January 26","Both sexes","Number","167"
"RIP.ie death notices","2021 January 27","Both sexes","Number","160"
"RIP.ie death notices","2021 January 28","Both sexes","Number","161"
"RIP.ie death notices","2021 January 29","Both sexes","Number","120"
"RIP.ie death notices","2021 January 30","Both sexes","Number","116"
"RIP.ie death notices","2021 January 31","Both sexes","Number","134"
"RIP.ie death notices","2021 February 01","Both sexes","Number","166"
"RIP.ie death notices","2021 February 02","Both sexes","Number","124"
"RIP.ie death notices","2021 February 03","Both sexes","Number","137"
"RIP.ie death notices","2021 February 04","Both sexes","Number","124"
"RIP.ie death notices","2021 February 05","Both sexes","Number","122"
"RIP.ie death notices","2021 February 06","Both sexes","Number","113"
"RIP.ie death notices","2021 February 07","Both sexes","Number","112"
"RIP.ie death notices","2021 February 08","Both sexes","Number","131"
"RIP.ie death notices","2021 February 09","Both sexes","Number","127"
"RIP.ie death notices","2021 February 10","Both sexes","Number","120"
"RIP.ie death notices","2021 February 11","Both sexes","Number","126"
"RIP.ie death notices","2021 February 12","Both sexes","Number","117"
"RIP.ie death notices","2021 February 13","Both sexes","Number","116"
"RIP.ie death notices","2021 February 14","Both sexes","Number","108"
"RIP.ie death notices","2021 February 15","Both sexes","Number","125"
"RIP.ie death notices","2021 February 16","Both sexes","Number","105"
"RIP.ie death notices","2021 February 17","Both sexes","Number","126"
"RIP.ie death notices","2021 February 18","Both sexes","Number","102"
"RIP.ie death notices","2021 February 19","Both sexes","Number","115"
"RIP.ie death notices","2021 February 20","Both sexes","Number","92"
"RIP.ie death notices","2021 February 21","Both sexes","Number","95"
"RIP.ie death notices","2021 February 22","Both sexes","Number","93"
"RIP.ie death notices","2021 February 23","Both sexes","Number","94"
"RIP.ie death notices","2021 February 24","Both sexes","Number","98"
"RIP.ie death notices","2021 February 25","Both sexes","Number","85"
"RIP.ie death notices","2021 February 26","Both sexes","Number","102"
"RIP.ie death notices","2021 February 27","Both sexes","Number","101"
"RIP.ie death notices","2021 February 28","Both sexes","Number","102"
"RIP.ie death notices","2021 March 01","Both sexes","Number","90"
"RIP.ie death notices","2021 March 02","Both sexes","Number","99"
"RIP.ie death notices","2021 March 03","Both sexes","Number","85"
"RIP.ie death notices","2021 March 04","Both sexes","Number","102"
"RIP.ie death notices","2021 March 05","Both sexes","Number","83"
"RIP.ie death notices","2021 March 06","Both sexes","Number","91"
"RIP.ie death notices","2021 March 07","Both sexes","Number","80"
"RIP.ie death notices","2021 March 08","Both sexes","Number","85"
"RIP.ie death notices","2021 March 09","Both sexes","Number","99"
"RIP.ie death notices","2021 March 10","Both sexes","Number","80"
"RIP.ie death notices","2021 March 11","Both sexes","Number","79"
"RIP.ie death notices","2021 March 12","Both sexes","Number","84"
"RIP.ie death notices","2021 March 13","Both sexes","Number","73"
