date,sex,year,deaths
2016-03-02,M,2016,47
2016-03-03,F,2016,52
2016-03-03,M,2016,46
2016-03-04,F,2016,38
2016-03-04,M,2016,41
2016-03-05,F,2016,56
2016-03-05,M,2016,47
2016-03-06,F,2016,44
2016-03-06,M,2016,48
2016-03-07,F,2016,50
2016-03-07,M,2016,44
2016-03-08,F,2016,39
2016-03-08,M,2016,46
2016-03-09,F,2016,38
2016-03-09,M,2016,47
2016-03-10,F,2016,41
2016-03-10,M,2016,51
2016-03-11,F,2016,47
2016-03-11,M,2016,31
2016-03-12,F,2016,49
2016-03-12,M,2016,47
2016-03-13,F,2016,48
2016-03-13,M,2016,41
2016-03-14,F,2016,45
2016-03-14,M,2016,36
2016-03-15,F,2016,45
2016-03-15,M,2016,49
2016-03-16,F,2016,45
2016-03-16,M,2016,38
2016-03-17,F,2016,36
2016-03-17,M,2016,42
2016-03-18,F,2016,46
2016-03-18,M,2016,35
2016-03-19,F,2016,57
2016-03-19,M,2016,51
2016-03-20,F,2016,33
2016-03-20,M,2016,54
2016-03-21,F,2016,44
2016-03-21,M,2016,47
2016-03-22,F,2016,49
2016-03-22,M,2016,48
2016-03-23,F,2016,36
2016-03-23,M,2016,43
2016-03-24,F,2016,42
2016-03-24,M,2016,48
2016-03-25,F,2016,44
2016-03-25,M,2016,53
2016-03-26,F,2016,47
2016-03-26,M,2016,48
2016-03-27,F,2016,50
2016-03-27,M,2016,56
2016-03-28,F,2016,46
2016-03-28,M,2016,48
2016-03-29,F,2016,47
2016-03-29,M,2016,46
2016-03-30,F,2016,52
2016-03-30,M,2016,40
2016-03-31,F,2016,35
2016-03-31,M,2016,43
2016-04-01,F,2016,53
2016-04-01,M,2016,39
2016-04-02,F,2016,39
2016-04-02,M,2016,30
2016-04-03,F,2016,39
2016-04-03,M,2016,52
2016-04-04,F,2016,42
2016-04-04,M,2016,48
2016-04-05,F,2016,39
2016-04-05,M,2016,39
2016-04-06,F,2016,45
2016-04-06,M,2016,47
2016-04-07,F,2016,36
2016-04-07,M,2016,42
2016-04-08,F,2016,57
2016-04-08,M,2016,52
2016-04-09,F,2016,36
2016-04-09,M,2016,44
2016-04-10,F,2016,44
2016-04-10,M,2016,51
2016-04-11,F,2016,34
2016-04-11,M,2016,50
2016-04-12,F,2016,53
2016-04-12,M,2016,40
2016-04-13,F,2016,42
2016-04-13,M,2016,50
2016-04-14,F,2016,33
2016-04-14,M,2016,43
2016-04-15,F,2016,42
2016-04-15,M,2016,53
2016-04-16,F,2016,28
2016-04-16,M,2016,45
2016-04-17,F,2016,41
2016-04-17,M,2016,45
2016-04-18,F,2016,31
2016-04-18,M,2016,25
2016-04-19,F,2016,30
2016-04-19,M,2016,41
2016-04-20,F,2016,42
2016-04-20,M,2016,43
2016-04-21,F,2016,32
2016-04-21,M,2016,40
2016-04-22,F,2016,40
2016-04-22,M,2016,42
2016-04-23,F,2016,37
2016-04-23,M,2016,42
2016-04-24,F,2016,45
2016-04-24,M,2016,45
2016-04-25,F,2016,50
2016-04-25,M,2016,39
2016-04-26,F,2016,34
2016-04-26,M,2016,36
2016-04-27,F,2016,32
2016-04-27,M,2016,59
2016-04-28,F,2016,53
2016-04-28,M,2016,33
2016-04-29,F,2016,37
2016-04-29,M,2016,42
2016-04-30,F,2016,42
2016-04-30,M,2016,36
2016-05-01,F,2016,38
2016-05-01,M,2016,39
2016-05-02,F,2016,40
2016-05-02,M,2016,47
2016-05-03,F,2016,37
2016-05-03,M,2016,42
2016-05-04,F,2016,36
2016-05-04,M,2016,43
2016-05-05,F,2016,29
