Name,Rank,Number of Births,year
Carmel,45,185,1972
Nicola,47,182,1972
Aisling,48,180,1972
Claire,49,175,1972
Amanda,50,173,1972
Angela,51,166,1972
Tara,52,157,1972
Grainne,53,152,1972
Barbara,54,150,1972
Anna,55,148,1972
Audrey,56,147,1972
Valerie,57,146,1972
Tracy,57,146,1972
Ciara,59,144,1972
Joan,60,136,1972
Christina,61,135,1972
Ruth,62,134,1972
Edel,62,134,1972
Alison,64,129,1972
Emer,64,129,1972
Ellen,66,128,1972
Nora,66,128,1972
Shirley,66,128,1972
Joanne,69,126,1972
Brigid,69,126,1972
Pauline,69,126,1972
Jane,72,124,1972
Tracey,72,124,1972
Josephine,74,123,1972
Sheila,75,119,1972
Colette,76,118,1972
Mairead,77,113,1972
Jean,78,109,1972
Noreen,78,109,1972
Aoife,80,104,1972
Laura,81,103,1972
Clare,81,103,1972
Frances,81,103,1972
Christine,84,101,1972
Anita,85,97,1972
Emma,86,96,1972
Annette,87,95,1972
Helena,88,93,1972
Samantha,89,92,1972
Pamela,90,91,1972
Roisin,91,90,1972
Clodagh,91,90,1972
Miriam,91,90,1972
Aileen,91,90,1972
Julie,95,89,1972
Irene,96,87,1972
Michele,97,85,1972
Una,98,84,1972
